#ID	peptide_length	Fickett_score	pI	ORF_integrity	coding_probability	label
STRT00464000	117	0.39899	10.7051391602	1	0.469053	noncoding
HBMT00000345030.1	59	0.34342	10.8866577148	1	0.0386318	noncoding
ENCT00000108682.1	75	0.4285	11.768371582	-1	0.187338	noncoding
STRT00459637	67	0.33679	10.8147583008	1	0.0480321	noncoding
PBT00108272	67	0.3532	10.8147583008	1	0.0540808	noncoding
STRT00499938	355	0.34542	10.2540893555	1	0.999628	coding
STRT00457241	355	0.29087	10.2540893555	1	0.989837	coding
STRT00474230	355	0.31672	10.2540893555	1	0.997845	coding
STRT00448939	355	0.28153	10.2540893555	1	0.98264	coding
STRT00477671	339	0.30706	10.626159668	-1	0.0873718	noncoding
STRT00451738	83	0.30651	8.90582275391	1	0.0566237	noncoding
STRT00491842	60	0.37743	9.29718017578	1	0.0422242	noncoding
STRT00489749	60	0.37891	9.29718017578	1	0.0428311	noncoding
FTMT25000000149.1	65	0.35577	5.98382568359	-1	0.0369984	noncoding
FTMT25000000153.1	255	0.41767	10.0411987305	1	0.999312	coding
STRT00559290	36	0.39548	12.0000610352	-1	0.171988	noncoding
STRT00580170	40	0.32646	8.36395263672	1	0.0105738	noncoding
STRT00564274	58	0.40383	9.33880615234	-1	0.0801938	noncoding
STRT00574121	93	0.4093	7.63458251953	-1	0.0571955	noncoding
STRT00573214	110	0.37889	9.39385986328	1	0.329647	noncoding
STRT00578710	109	0.39192	9.39385986328	1	0.36994	noncoding
STRT00565681	44	0.33956	9.51531982422	-1	0.131018	noncoding
STRT00581046	53	0.3826	9.65509033203	1	0.0346078	noncoding
STRT00583804	147	0.30064	11.1162719727	1	0.241555	noncoding
STRT00573441	57	0.3227	10.1420288086	1	0.0299997	noncoding
STRT00578871	57	0.31474	10.1420288086	1	0.0292262	noncoding
STRT00567000	6	0.36729	6.49139404297	-1	0.0190836	noncoding
PBT00118211	57	0.37347	9.38385009766	1	0.03612	noncoding
STRT00573816	16	0.32067	5.27496337891	1	0.00376011	noncoding
STRT00570259	40	0.355	8.71270751953	-1	0.0821277	noncoding
PBT00117220	32	0.32869	9.90155029297	1	0.0120159	noncoding
PBT00117221	71	0.26773	9.30157470703	1	0.0383527	noncoding
STRT00587236	44	0.30248	8.18206787109	1	0.0122002	noncoding
PBT00118242	101	0.28683	8.60577392578	1	0.0920936	noncoding
STRT00587807	30	0.34525	3.99884033203	1	0.0146996	noncoding
STRT00559134	16	0.37459	12.4790649414	1	0.00795748	noncoding
HBMT00000381616.1	204	0.36535	11.7084350586	1	0.860613	coding
ENCT00000118205.1	90	0.30753	8.93487548828	1	0.0727546	noncoding
STRT00561687	0	0.36937	0.0	-1	4.27992e-06	noncoding
STRT00600910	46	0.39677	9.78228759766	1	0.0294063	noncoding
STRT00561038	23	0.44836	8.34442138672	1	0.00927136	noncoding
STRT00589405	49	0.38921	6.81097412109	1	0.0214692	noncoding
PBT00118410	93	0.29304	9.75885009766	1	0.0743701	noncoding
STRT00600071	0	0.29754	0.0	-1	5.45992e-07	noncoding
PBT00118480	76	0.34024	10.1478881836	1	0.0643112	noncoding
STRT00560097	20	0.36962	4.12982177734	-1	0.01061	noncoding
FTMT25000003050.1	0	0.33114	0.0	-1	6.01374e-07	noncoding
ENCT00000113890.1	207	0.29367	10.063293457	1	0.683954	coding
PBT00118546	101	0.25289	8.97161865234	1	0.0864548	noncoding
STRT00591733	17	0.41005	6.48773193359	1	0.00380575	noncoding
PBT00118576	123	0.28982	9.09918212891	1	0.17167	noncoding
MICT00000097324.1	73	0.28252	10.4983520508	1	0.0456723	noncoding
STRT00568897	25	0.43623	10.3472290039	1	0.0190755	noncoding
ENCT00000120687.1	61	0.40276	9.23687744141	1	0.0572318	noncoding
PBT00117601	85	0.3208	5.60699462891	1	0.120249	noncoding
STRT00572617	24	0.33531	10.7367553711	1	0.0115961	noncoding
STRT00564809	45	0.36183	5.14959716797	1	0.021844	noncoding
STRT00573717	45	0.42654	5.14959716797	1	0.0393544	noncoding
PBT00117604	79	0.35312	9.42230224609	1	0.0761522	noncoding
STRT00571556	68	0.39497	9.75677490234	1	0.0789425	noncoding
STRT00583958	55	0.40569	6.70367431641	-1	0.0275845	noncoding
STRT00595871	18	0.36807	9.97650146484	1	0.00738576	noncoding
PBT00117627	154	0.32148	9.91802978516	1	0.467542	noncoding
STRT00588226	154	0.2831	9.91802978516	1	0.289859	noncoding
STRT00588584	120	0.27517	6.38482666016	1	0.305964	noncoding
STRT00582842	151	0.28165	8.68109130859	1	0.34086	noncoding
PBT00117629	147	0.28683	10.762878418	1	0.22324	noncoding
STRT00596378	71	0.28027	7.83697509766	1	0.0353932	noncoding
FTMT24900021643.1	54	0.31182	6.88409423828	-1	0.0802578	noncoding
STRT00590667	42	0.38291	10.4689331055	1	0.0251946	noncoding
ENCT00000116195.1	98	0.28415	8.47735595703	1	0.0836438	noncoding
ENCT00000116333.1	101	0.29607	8.39385986328	1	0.0990915	noncoding
ENCT00000116334.1	101	0.29202	8.39385986328	1	0.0965805	noncoding
STRT00586639	101	0.29607	8.39385986328	1	0.0990915	noncoding
STRT00571954	101	0.29202	8.39385986328	1	0.0965805	noncoding
STRT00588730	56	0.43292	5.30364990234	1	0.0759385	noncoding
ENCT00000121876.1	117	0.31094	9.32684326172	1	0.177763	noncoding
MICT00000099837.1	110	0.31427	9.78424072266	1	0.146722	noncoding
FTMT24900004057.1	43	0.3348	11.553894043	1	0.0227628	noncoding
STRT00581746	76	0.39654	10.5064086914	1	0.119929	noncoding
STRT00583790	21	0.47764	3.51470947266	-1	0.0286136	noncoding
STRT00559636	62	0.44413	11.3629760742	1	0.134482	noncoding
STRT00565508	0	0.37521	0.0	-1	6.68331e-06	noncoding
FTMT25600000129.1	29	0.45321	12.0088500977	-1	0.155155	noncoding
PBT00131195	194	0.43984	9.39923095703	1	0.993922	coding
PBT00133400	90	0.33487	6.22479248047	1	0.130657	noncoding
PBT00133481	90	0.31255	6.63494873047	1	0.0989626	noncoding
STRT00623285	71	0.27958	8.83062744141	1	0.0354067	noncoding
STRT00620145	48	0.47683	7.94061279297	1	0.0468438	noncoding
STRT00609411	51	0.3653	9.18328857422	1	0.0247025	noncoding
STRT00624191	51	0.40218	9.18328857422	1	0.0343109	noncoding
STRT00650048	85	0.39789	8.98797607422	-1	0.0887034	noncoding
ENCT00000125234.1	18	0.34172	8.02008056641	1	0.00362583	noncoding
HBMT00000428335.1	143	0.28267	9.72686767578	1	0.2382	noncoding
FTMT25400002501.1	105	0.30712	10.9677124023	1	0.108865	noncoding
STRT00648939	50	0.30749	5.72686767578	1	0.0204956	noncoding
FTMT25400002537.1	30	0.37155	11.875793457	1	0.0153011	noncoding
STRT00621481	58	0.34706	8.83978271484	1	0.0276017	noncoding
STRT00634724	44	0.41611	10.9531860352	1	0.0401957	noncoding
ENCT00000134624.1	2	0.46109	5.27496337891	1	1.5191e-05	noncoding
PBT00131761	94	0.2951	6.79876708984	1	0.104727	noncoding
PBT00131763	111	0.28883	6.55889892578	1	0.213956	noncoding
PBT00131764	60	0.33194	9.61309814453	1	0.0315348	noncoding
STRT00640797	23	0.39026	6.49200439453	1	0.00483572	noncoding
STRT00673304	26	0.30488	9.98443603516	1	0.0106402	noncoding
STRT00630314	63	0.39465	10.8430786133	1	0.0694563	noncoding
STRT00619699	62	0.38543	7.87725830078	1	0.0414469	noncoding
ENCT00000135298.1	87	0.3621	11.5899047852	1	0.10089	noncoding
PBT00132021	63	0.35625	9.03192138672	1	0.0380785	noncoding
HBMT00000448638.1	169	0.2886	9.54498291016	1	0.438252	noncoding
PBT00133946	70	0.30898	12.0142211914	1	0.0404114	noncoding
MICT00000107137.1	78	0.41787	9.69097900391	1	0.16394	noncoding
MICT00000107138.1	63	0.43276	8.01605224609	1	0.0737801	noncoding
STRT00633227	46	0.29631	10.5317993164	1	0.0229748	noncoding
STRT00644194	46	0.32772	10.5317993164	1	0.022816	noncoding
STRT00643426	53	0.35155	6.71502685547	1	0.020145	noncoding
STRT00609750	104	0.3291	7.99884033203	1	0.154893	noncoding
STRT00634252	63	0.35461	6.37298583984	-1	0.0411536	noncoding
STRT00643233	65	0.33223	7.68988037109	-1	0.0848338	noncoding
STRT00622911	80	0.30616	8.63995361328	1	0.0501411	noncoding
STRT00648122	133	0.3857	8.10443115234	1	0.66618	coding
STRT00650216	36	0.30493	7.97808837891	-1	0.112929	noncoding
STRT00646617	37	0.42283	9.10052490234	-1	0.0535097	noncoding
ENCT00000135916.1	75	0.32486	7.71954345703	1	0.0457066	noncoding
PBT00134126	67	0.32322	11.0969848633	1	0.0445617	noncoding
PBT00134127	152	0.29561	7.80780029297	1	0.479234	noncoding
STRT00658165	15	0.43011	6.68927001953	1	0.00373192	noncoding
STRT00640669	15	0.34849	6.68927001953	1	0.00259475	noncoding
ENCT00000136506.1	50	0.33646	9.78216552734	1	0.0229789	noncoding
ENCT00000136600.1	71	0.29187	8.88079833984	1	0.0354976	noncoding
FTMT25300045140.1	71	0.33527	8.88079833984	1	0.044046	noncoding
ENCT00000136601.1	53	0.38456	8.88934326172	1	0.0298928	noncoding
PBT00134198	104	0.2855	6.68292236328	1	0.158183	noncoding
STRT00616856	140	0.27955	10.067565918	1	0.204977	noncoding
STRT00668796	89	0.27651	10.2649536133	1	0.0645659	noncoding
STRT00668797	89	0.28519	10.2649536133	1	0.0659183	noncoding
STRT00629130	91	0.30013	9.60101318359	1	0.0730004	noncoding
PBT00134251	140	0.28571	10.067565918	1	0.218833	noncoding
PBT00134252	140	0.29255	10.067565918	1	0.236816	noncoding
PBT00134253	91	0.30028	9.60101318359	1	0.0730755	noncoding
PBT00134254	140	0.30373	10.067565918	1	0.272138	noncoding
PBT00134255	140	0.29179	10.067565918	1	0.234682	noncoding
STRT00657608	89	0.38024	10.2649536133	1	0.160608	noncoding
STRT00655982	140	0.36876	10.067565918	1	0.589325	coding
STRT00646484	146	0.31766	8.80389404297	1	0.440432	noncoding
STRT00610625	44	0.35679	7.64886474609	1	0.0127253	noncoding
STRT00626757	12	0.33537	5.75079345703	-1	0.0242185	noncoding
STRT00622621	4	0.3902	5.27496337891	1	1.20916e-05	noncoding
STRT00622944	6	0.37422	7.97552490234	-1	0.0352199	noncoding
STRT00614083	38	0.35521	9.30059814453	-1	0.103122	noncoding
PBT00132445	85	0.35399	8.65509033203	1	0.0927204	noncoding
PBT00134314	71	0.32763	9.56695556641	1	0.0456002	noncoding
MICT00000110169.1	95	0.39317	10.0610961914	1	0.236087	noncoding
STRT00664298	52	0.37502	8.93731689453	1	0.0264595	noncoding
STRT00626082	92	0.3853	11.6173706055	1	0.155277	noncoding
STRT00643364	77	0.38419	10.3081665039	1	0.106556	noncoding
STRT00652526	165	0.30539	10.8327026367	1	0.38392	noncoding
PBT00134354	139	0.28187	9.44598388672	1	0.225962	noncoding
STRT00621149	122	0.33229	9.44305419922	1	0.265818	noncoding
ENCT00000130049.1	143	0.33928	5.85601806641	1	0.776075	coding
STRT00658186	62	0.33841	5.33721923828	1	0.0455325	noncoding
ENCT00000137589.1	79	0.28063	7.73077392578	1	0.0476087	noncoding
STRT00638959	188	0.30736	10.7216186523	1	0.567256	coding
PBT00132769	94	0.31168	10.7827758789	1	0.0875426	noncoding
ENCT00000130493.1	195	0.32727	6.33319091797	1	0.968039	coding
STRT00610742	24	0.36242	9.03497314453	-1	0.0795129	noncoding
STRT00617350	20	0.33382	9.69708251953	-1	0.138814	noncoding
PBT00132821	65	0.27502	8.88482666016	1	0.0300166	noncoding
STRT00627361	46	0.45392	10.2844848633	-1	0.0958414	noncoding
STRT00652373	187	0.28478	10.0247192383	1	0.5	coding
STRT00628458	50	0.36293	9.62493896484	1	0.0257246	noncoding
STRT00631306	133	0.35686	6.73736572266	1	0.632156	coding
STRT00661853	187	0.28923	10.0247192383	1	0.526239	coding
STRT00694642	32	0.34956	6.68133544922	-1	0.0352823	noncoding
STRT00726725	47	0.30468	9.25152587891	1	0.0169168	noncoding
ENCT00000139314.1	90	0.28334	5.65765380859	1	0.150223	noncoding
STRT00754934	90	0.29367	5.65765380859	1	0.143383	noncoding
STRT00760178	27	0.34339	8.04461669922	1	0.00559289	noncoding
STRT00738389	22	0.35756	4.21881103516	1	0.00839625	noncoding
STRT00705202	111	0.32311	9.29901123047	1	0.170992	noncoding
STRT00696239	93	0.30159	9.04571533203	1	0.0771577	noncoding
PBT00146330	94	0.29705	8.79888916016	1	0.0773157	noncoding
STRT00709530	93	0.29355	9.04571533203	1	0.0732303	noncoding
STRT00732832	93	0.30159	9.04571533203	1	0.0771577	noncoding
PBT00146334	93	0.30159	9.04571533203	1	0.0771577	noncoding
STRT00680583	111	0.28518	9.29901123047	1	0.116793	noncoding
ENCT00000139851.1	93	0.33029	9.04571533203	1	0.100033	noncoding
STRT00736761	93	0.30159	9.04571533203	1	0.0771577	noncoding
STRT00735518	93	0.30159	9.04571533203	1	0.0771577	noncoding
STRT00740930	93	0.30159	9.04571533203	1	0.0771577	noncoding
STRT00754937	93	0.29791	9.04571533203	1	0.0752292	noncoding
STRT00693719	47	0.33537	10.5647583008	1	0.0241833	noncoding
STRT00740468	94	0.292	8.79888916016	1	0.0750557	noncoding
STRT00745235	93	0.2895	9.04571533203	1	0.0716523	noncoding
STRT00737219	93	0.30159	9.04571533203	1	0.0771577	noncoding
STRT00763223	93	0.30159	9.04571533203	1	0.0771577	noncoding
STRT00706178	111	0.30159	9.29901123047	1	0.13469	noncoding
STRT00724614	79	0.29202	7.84869384766	1	0.04671	noncoding
STRT00715998	90	0.33546	8.99298095703	1	0.0942503	noncoding
STRT00707556	94	0.29884	8.79888916016	1	0.0782213	noncoding
STRT00727864	81	0.33494	7.90704345703	1	0.0637841	noncoding
PBT00146336	109	0.3448	6.52996826172	1	0.294521	noncoding
PBT00147995	51	0.3972	5.42608642578	1	0.0386597	noncoding
PBT00148000	93	0.36398	9.33612060547	1	0.149041	noncoding
STRT00730236	54	0.36129	5.21978759766	1	0.0358221	noncoding
STRT00688685	49	0.35368	9.07098388672	1	0.0203696	noncoding
STRT00753241	54	0.38867	9.69195556641	1	0.0386572	noncoding
PBT00146358	77	0.29502	7.91485595703	1	0.0432982	noncoding
STRT00733824	117	0.28982	8.83856201172	1	0.149339	noncoding
PBT00148037	87	0.27678	8.73492431641	1	0.0576988	noncoding
ENCT00000147850.1	69	0.30049	8.68487548828	1	0.0330902	noncoding
ENCT00000141161.1	52	0.37257	8.12176513672	1	0.0224524	noncoding
PBT00146655	80	0.37072	9.50518798828	1	0.0969156	noncoding
STRT00696298	10	0.36926	12.3010864258	1	0.00707914	noncoding
STRT00710356	62	0.44764	11.4105834961	1	0.142864	noncoding
STRT00682479	69	0.31696	9.23565673828	1	0.0378492	noncoding
STRT00755618	145	0.2943	8.42889404297	1	0.354669	noncoding
STRT00692884	92	0.2992	9.64593505859	1	0.0748735	noncoding
STRT00759056	49	0.3572	5.40167236328	1	0.0239498	noncoding
STRT00693847	49	0.3732	5.40167236328	1	0.0273284	noncoding
STRT00697232	34	0.36453	8.76910400391	1	0.010039	noncoding
STRT00687488	49	0.42528	5.40167236328	1	0.0444257	noncoding
STRT00692328	92	0.28219	9.64593505859	1	0.068428	noncoding
STRT00693301	49	0.37305	5.40167236328	1	0.027291	noncoding
STRT00739974	49	0.38037	5.40167236328	1	0.0292391	noncoding
PBT00146800	145	0.29519	8.42889404297	1	0.354281	noncoding
STRT00689194	145	0.28562	8.42889404297	1	0.325919	noncoding
HBMT00000485631.1	131	0.29772	10.9016723633	1	0.179263	noncoding
PBT00148642	53	0.33446	8.31378173828	1	0.0188939	noncoding
ENCT00000149825.1	120	0.32499	11.9550170898	1	0.136484	noncoding
STRT00755751	37	0.33202	6.20831298828	1	0.00874254	noncoding
STRT00729757	24	0.34593	5.58721923828	1	0.00503105	noncoding
ENCT00000149877.1	96	0.27587	6.71246337891	1	0.118777	noncoding
FTMT25800002514.1	52	0.36796	9.29656982422	1	0.0270467	noncoding
FTMT26000002794.1	156	0.32521	9.41900634766	1	0.540073	coding
ENCT00000143318.1	123	0.3143	7.65740966797	1	0.274109	noncoding
PBT00147163	196	0.26651	10.9005737305	1	0.353568	noncoding
MICT00000119684.1	24	0.34173	10.4326782227	-1	0.162432	noncoding
PBT00149084	56	0.28576	8.61126708984	1	0.021	noncoding
STRT00697951	64	0.31621	11.4212036133	1	0.0394964	noncoding
FTMT25900009184.1	49	0.38262	8.05780029297	1	0.0207195	noncoding
FTMT26000002988.1	43	0.31028	10.0149536133	1	0.0181074	noncoding
ENCT00000151342.1	72	0.32053	9.51153564453	1	0.0447056	noncoding
PBT00149225	112	0.28068	8.28485107422	1	0.130693	noncoding
STRT00700487	81	0.33135	6.21417236328	1	0.0831302	noncoding
ENCT00000144529.1	76	0.38785	9.87176513672	1	0.103845	noncoding
STRT00742812	0	0.32819	0.0	-1	5.59022e-07	noncoding
STRT00705137	130	0.28396	9.44305419922	1	0.186576	noncoding
STRT00687888	130	0.28648	9.44305419922	1	0.191243	noncoding
STRT00711687	109	0.29367	8.99053955078	1	0.120094	noncoding
STRT00711688	109	0.29367	8.99053955078	1	0.120094	noncoding
STRT00682006	88	0.28683	4.68804931641	1	0.235425	noncoding
STRT00684788	109	0.35371	8.99053955078	1	0.235849	noncoding
STRT00699571	66	0.34895	9.29998779297	1	0.0425381	noncoding
STRT00716511	79	0.36521	8.75189208984	1	0.0814052	noncoding
STRT00757304	45	0.35155	4.79998779297	1	0.0240513	noncoding
STRT00696747	84	0.29174	5.74676513672	1	0.107078	noncoding
STRT00703811	45	0.33799	9.18560791016	1	0.0163706	noncoding
STRT00757622	45	0.36113	9.18560791016	1	0.0183467	noncoding
STRT00714121	45	0.31311	9.18560791016	1	0.0154975	noncoding
STRT00727320	72	0.36651	7.77789306641	1	0.0567736	noncoding
STRT00728726	25	0.39695	11.7002563477	1	0.0146761	noncoding
STRT00688899	66	0.37541	9.29998779297	1	0.0543284	noncoding
STRT00699170	19	0.33484	9.50006103516	-1	0.128276	noncoding
STRT00692740	20	0.42222	4.20709228516	1	0.0131768	noncoding
STRT00698149	20	0.42996	4.20709228516	1	0.0138406	noncoding
STRT00745389	84	0.30835	5.74676513672	1	0.104427	noncoding
STRT00742164	33	0.42619	5.95977783203	-1	0.0164029	noncoding
STRT00739089	61	0.319	4.13690185547	1	0.0783901	noncoding
MICT00000121298.1	84	0.28193	5.74676513672	1	0.113493	noncoding
STRT00687599	48	0.32325	7.86920166016	1	0.0138203	noncoding
STRT00727953	20	0.4216	6.80560302734	1	0.00483076	noncoding
ENCT00000152296.1	112	0.28931	10.1206665039	1	0.118657	noncoding
STRT00731993	23	0.36509	10.0442504883	1	0.00928277	noncoding
PBT00147462	98	0.26323	9.13909912109	1	0.0775003	noncoding
FTMT25800003631.1	63	0.29223	9.89410400391	1	0.0322211	noncoding
ENCT00000152367.1	67	0.36379	9.69195556641	-1	0.124771	noncoding
STRT00737503	72	0.38092	6.81097412109	1	0.0718023	noncoding
ENCT00000152494.1	104	0.33591	9.41986083984	1	0.158058	noncoding
PBT00147648	63	0.31176	5.31097412109	1	0.0463511	noncoding
PBT00147650	72	0.28764	8.35638427734	1	0.0355529	noncoding
STRT00761685	17	0.33368	5.27056884766	1	0.00374801	noncoding
STRT00726052	31	0.4286	10.3062133789	-1	0.0907994	noncoding
PBT00147657	75	0.31553	7.98065185547	1	0.042958	noncoding
PBT00147682	52	0.29519	5.45379638672	1	0.0277346	noncoding
ENCT00000154192.1	55	0.377	11.6100463867	1	0.0398163	noncoding
STRT00813448	70	0.39099	4.78302001953	1	0.154586	noncoding
STRT00811291	27	0.36099	12.313659668	1	0.0121033	noncoding
STRT00803674	142	0.3891	9.20587158203	1	0.745184	coding
STRT00826910	45	0.38572	5.96185302734	1	0.0196199	noncoding
ENCT00000162298.1	88	0.29205	8.93133544922	1	0.0619431	noncoding
STRT00825808	81	0.27067	8.49078369141	1	0.0487886	noncoding
STRT00783144	210	0.27599	9.62115478516	1	0.644731	coding
PBT00166947	210	0.28283	9.62115478516	1	0.687534	coding
STRT00838265	130	0.27469	10.412902832	1	0.152466	noncoding
STRT00819825	10	0.37263	9.50006103516	1	0.00433597	noncoding
STRT00783393	111	0.37271	9.17840576172	1	0.31736	noncoding
PBT00167024	120	0.3295	10.2266235352	1	0.227203	noncoding
FTMT26400000175.1	72	0.35695	9.92987060547	1	0.0634034	noncoding
ENCT00000163231.1	99	0.28305	11.9163208008	1	0.069672	noncoding
STRT00805437	25	0.34434	5.74615478516	-1	0.0244086	noncoding
STRT00764629	107	0.34618	10.2554321289	1	0.192576	noncoding
STRT00781083	143	0.32256	9.24102783203	-1	0.165657	noncoding
STRT00798241	25	0.37229	9.49664306641	-1	0.0888935	noncoding
STRT00826161	104	0.30647	9.82513427734	1	0.113293	noncoding
STRT00783193	40	0.36185	9.60052490234	1	0.0165237	noncoding
STRT00781457	75	0.31518	10.2341918945	1	0.0519406	noncoding
STRT00793548	40	0.34549	9.60052490234	1	0.0153767	noncoding
STRT00784325	62	0.3446	11.6646118164	1	0.0401239	noncoding
STRT00796455	41	0.35077	12.307434082	1	0.0182737	noncoding
STRT00835180	55	0.42665	5.25189208984	1	0.0703002	noncoding
STRT00848183	0	0.27892	0.0	-1	1.04342e-06	noncoding
STRT00836382	22	0.31778	5.82330322266	1	0.00450462	noncoding
STRT00788466	52	0.31289	7.81097412109	1	0.016165	noncoding
STRT00831867	51	0.32736	9.40313720703	1	0.0210518	noncoding
PBT00165289	86	0.27415	9.13140869141	1	0.0561408	noncoding
HBMT00000558118.1	40	0.38453	11.6237182617	-1	0.171119	noncoding
HBMT00000558134.1	58	0.30441	8.50531005859	1	0.0218126	noncoding
FTMT26100015889.1	48	0.35244	4.95770263672	1	0.0266778	noncoding
STRT00833931	37	0.40007	9.84625244141	1	0.0201044	noncoding
STRT00840357	63	0.29637	8.04669189453	1	0.0253927	noncoding
PBT00160211	138	0.34084	12.5055541992	1	0.171976	noncoding
MICT00000130254.1	102	0.3842	11.7119750977	1	0.201843	noncoding
ENCT00000165841.1	89	0.30725	10.0642700195	1	0.0739486	noncoding
STRT00838161	82	0.334	9.19622802734	1	0.0693696	noncoding
ENCT00000165892.1	156	0.27651	9.29620361328	1	0.316296	noncoding
ENCT00000165926.1	222	0.31791	10.815612793	1	0.820714	coding
ENCT00000158352.1	50	0.35116	9.21343994141	1	0.0216674	noncoding
PBT00167728	106	0.36103	10.762878418	1	0.214064	noncoding
ENCT00000158737.1	61	0.37287	9.77301025391	1	0.0460343	noncoding
STRT00793342	72	0.33401	4.18072509766	1	0.139909	noncoding
STRT00802044	23	0.37981	12.0084838867	1	0.0119053	noncoding
STRT00784754	87	0.32284	8.88116455078	1	0.0740356	noncoding
STRT00780007	23	0.37981	12.0084838867	1	0.0119053	noncoding
STRT00804109	75	0.3882	11.2732543945	1	0.0981494	noncoding
STRT00802043	69	0.37753	8.88018798828	1	0.059884	noncoding
MICT00000133095.1	113	0.30725	9.18536376953	1	0.152649	noncoding
STRT00805138	28	0.34044	8.00079345703	-1	0.0679856	noncoding
MICT00000133097.1	109	0.30823	9.29852294922	1	0.135725	noncoding
FTMT26200002726.1	109	0.31123	9.29852294922	1	0.140143	noncoding
PBT00167825	88	0.32417	5.99359130859	1	0.119893	noncoding
STRT00838037	168	0.27631	6.27178955078	1	0.788181	coding
STRT00796134	168	0.28832	6.27178955078	1	0.806715	coding
STRT00829639	183	0.28648	8.55877685547	1	0.635424	coding
STRT00817119	183	0.28648	8.55877685547	1	0.635424	coding
STRT00845440	183	0.28648	8.55877685547	1	0.635424	coding
PBT00167837	168	0.30041	6.27178955078	1	0.830837	coding
PBT00167838	168	0.28832	6.27178955078	1	0.806715	coding
STRT00838323	168	0.30041	6.27178955078	1	0.830837	coding
PBT00163522	168	0.30274	6.27178955078	1	0.835853	coding
PBT00163523	168	0.30274	6.27178955078	1	0.835853	coding
STRT00845879	168	0.28832	6.27178955078	1	0.806715	coding
PBT00167839	168	0.28832	6.27178955078	1	0.806715	coding
PBT00167840	168	0.31142	6.27178955078	1	0.854964	coding
STRT00847892	155	0.27926	11.2825317383	1	0.20354	noncoding
STRT00847893	100	0.35391	5.61273193359	1	0.302914	noncoding
STRT00803421	60	0.37017	7.88482666016	1	0.0323009	noncoding
STRT00815770	98	0.38572	8.59344482422	1	0.233459	noncoding
STRT00780384	155	0.27379	11.2825317383	1	0.192594	noncoding
STRT00837218	73	0.3079	10.3003540039	-1	0.175323	noncoding
PBT00167841	129	0.31479	9.34698486328	1	0.261202	noncoding
PBT00167842	143	0.2908	9.48126220703	1	0.271383	noncoding
PBT00167843	143	0.28063	9.48126220703	1	0.242688	noncoding
PBT00167844	183	0.28518	8.55877685547	1	0.62917	coding
FTMT26100032234.1	45	0.41774	12.0034790039	1	0.0369591	noncoding
ENCT00000167542.1	89	0.28786	10.3179321289	1	0.0667169	noncoding
FTMT26200004062.1	109	0.32079	11.6688842773	1	0.115162	noncoding
FTMT26400003919.1	31	0.45267	5.95648193359	1	0.0128173	noncoding
FTMT26400003946.1	48	0.32246	4.52813720703	1	0.03056	noncoding
STRT00797144	54	0.35355	4.53106689453	1	0.047862	noncoding
STRT00806159	37	0.37238	6.00006103516	-1	0.0221984	noncoding
ENCT00000160444.1	59	0.31511	7.81512451172	1	0.0218708	noncoding
STRT00810254	69	0.36172	5.20562744141	1	0.0852921	noncoding
STRT00792050	69	0.41774	5.20562744141	-1	0.02831	noncoding
STRT00794406	53	0.32442	6.50433349609	-1	0.0582904	noncoding
ENCT00000168676.1	46	0.31942	6.50823974609	1	0.0131367	noncoding
STRT00785862	75	0.35877	6.88751220703	-1	0.052414	noncoding
FTMT26400005107.1	35	0.32968	10.5607299805	1	0.016052	noncoding
PBT00168494	151	0.28318	11.8692016602	1	0.158431	noncoding
PBT00168495	120	0.32304	10.4303588867	1	0.204293	noncoding
STRT00838375	120	0.2949	10.4303588867	1	0.147276	noncoding
FTMT26400005239.1	200	0.27217	9.16632080078	1	0.616017	coding
FTMT26300034616.1	137	0.3487	8.71917724609	1	0.507857	coding
STRT00820149	129	0.28921	5.91607666016	1	0.477117	noncoding
STRT00791492	230	0.31791	9.83502197266	-1	0.16748	noncoding
STRT00821465	230	0.32475	9.83502197266	-1	0.176909	noncoding
STRT00779785	172	0.3323	11.8135375977	1	0.442614	noncoding
STRT00770974	172	0.32475	11.8135375977	1	0.396935	noncoding
PBT00168496	172	0.30991	11.8135375977	1	0.31976	noncoding
PBT00168497	172	0.28305	11.8135375977	1	0.219314	noncoding
STRT00808424	109	0.33002	9.93475341797	1	0.170476	noncoding
PBT00168499	70	0.31548	9.24456787109	1	0.0389669	noncoding
ENCT00000161380.1	97	0.39316	8.01483154297	-1	0.0715813	noncoding
PBT00168527	130	0.33031	9.84136962891	1	0.311079	noncoding
PBT00166681	133	0.3137	9.55474853516	1	0.279744	noncoding
STRT00834249	37	0.40874	11.4176635742	1	0.0271854	noncoding
STRT00844830	72	0.32584	11.0916137695	-1	0.177936	noncoding
ENCT00000169703.1	143	0.31962	10.5055541992	1	0.332524	noncoding
ENCT00000169853.1	48	0.30898	11.135925293	1	0.026071	noncoding
STRT00805861	242	0.35563	10.8247680664	1	0.973034	coding
MICT00000138942.1	188	0.31423	11.2111206055	1	0.542461	coding
PBT00168558	188	0.28989	11.2111206055	1	0.389038	noncoding
FTMT26200006149.1	31	0.3289	11.825012207	1	0.016133	noncoding
MICT00000139279.1	182	0.31389	11.2686157227	1	0.490852	noncoding
MICT00000139277.1	182	0.28842	11.2686157227	1	0.344575	noncoding
STRT00913997	53	0.39384	9.03424072266	1	0.0336775	noncoding
HBMT00000614246.1	177	0.27587	10.3280639648	1	0.357633	noncoding
